signature_id	split	expected_class	expected_class_rationale	program	source_study	source_family_id	curation_status
hallmark_ifng_response	primary	durable	Well-replicated MSigDB Hallmark interferon-gamma response set; robust across cancer, infection, and autoimmune cohorts.	interferon_response	MSigDB Hallmark INTERFERON_GAMMA_RESPONSE (Liberzon et al. 2015)	fam_msigdb_hallmark_ifng	dual_curator_agreed_locked
hallmark_ifna_response	primary	durable	Well-replicated MSigDB Hallmark interferon-alpha response set; consistently activated in viral and autoimmune contexts.	interferon_response	MSigDB Hallmark INTERFERON_ALPHA_RESPONSE (Liberzon et al. 2015)	fam_msigdb_hallmark_ifna	dual_curator_agreed_locked
hallmark_inflammatory_response	primary	durable	Well-replicated MSigDB Hallmark inflammatory response; canonical NF-kB/TNF pathway genes with broad cross-cohort reproducibility.	inflammatory_response	MSigDB Hallmark INFLAMMATORY_RESPONSE (Liberzon et al. 2015)	fam_msigdb_hallmark_inflam	dual_curator_agreed_locked
hallmark_hypoxia	primary	durable	Well-replicated MSigDB Hallmark hypoxia set; HIF1A-regulated metabolic genes consistently activated across solid tumors and ischemia.	hypoxia	MSigDB Hallmark HYPOXIA (Liberzon et al. 2015)	fam_msigdb_hallmark_hypoxia	dual_curator_agreed_locked
hallmark_e2f_targets	primary	durable	Well-replicated MSigDB Hallmark E2F targets; core replication-licensing and S-phase genes reproducible across proliferative contexts.	proliferation	MSigDB Hallmark E2F_TARGETS (Liberzon et al. 2015)	fam_msigdb_hallmark_e2f	dual_curator_agreed_locked
hallmark_emt	primary	durable	Well-replicated MSigDB Hallmark EMT set; mesenchymal markers and ECM remodeling genes reproducible in fibrosis and metastasis.	emt	MSigDB Hallmark EPITHELIAL_MESENCHYMAL_TRANSITION (Liberzon et al. 2015)	fam_msigdb_hallmark_emt	dual_curator_agreed_locked
hallmark_tnfa_nfkb	primary	durable	Well-replicated MSigDB Hallmark TNFa-NF-kB signaling; canonical immediate-early response genes with broad cross-cohort support.	inflammatory_response	MSigDB Hallmark TNFA_SIGNALING_VIA_NFKB (Liberzon et al. 2015)	fam_msigdb_hallmark_tnfa	dual_curator_agreed_locked
curated_senescence	primary	durable	Curated senescence signature from consensus SASP/CDK-inhibitor literature; well-validated across fibroblast, epithelial, and in vivo aging cohorts.	senescence	Curated from Coppe et al. 2008, Hernandez-Segura et al. 2017, Casella et al. 2019	fam_curated_senescence	dual_curator_agreed_locked
schoggins_2011_irg	primary	durable	Orthogonal interferon-stimulated gene panel from antiviral overexpression screens; expected to replicate across IFN-engaged cohorts despite a different source lineage from MSigDB.	interferon_response	Schoggins et al. 2011 antiviral IRG panel (Nature 2011)	fam_schoggins_2011_irg	dual_curator_agreed_locked
brittle_small_study_inflammation	primary	brittle	Random subset of inflammatory genes plus non-specific housekeeping noise; mimics underpowered single-study extraction with no validation cohort.	inflammatory_response	Synthetic brittle: partial inflammatory subset + noise genes	fam_brittle_small_study	dual_curator_agreed_locked
brittle_platform_specific	primary	brittle	Ribosomal protein and mitochondrial genes known to vary by platform (array vs RNA-seq) and library prep; expected to show strong batch effects.	technical_artifact	Synthetic brittle: platform-sensitive ribosomal + mitochondrial genes	fam_brittle_platform	dual_curator_agreed_locked
brittle_single_tissue	primary	brittle	Liver-specific genes (albumin, apolipoproteins, CYPs) mixed with generic immune markers; expected to fail in non-hepatic cohorts.	tissue_specific	Synthetic brittle: liver-specific genes + generic immune	fam_brittle_tissue	dual_curator_agreed_locked
brittle_overfit_noise	primary	brittle	Random assortment of genes with no shared biological pathway or coherent regulation; mimics overfit feature selection from high-dimensional noise.	none	Synthetic brittle: random incoherent gene set	fam_brittle_overfit	dual_curator_agreed_locked
mixed_emt_inflammation	primary	mixed	Combines EMT mesenchymal markers with inflammatory cytokines; replicates in fibrosis and wound healing but fails in sepsis and pure immune activation.	emt	Synthetic mixed: EMT + inflammatory overlap	fam_mixed_emt_inflam	dual_curator_agreed_locked
mixed_hypoxia_stress	primary	mixed	Combines hypoxia-response genes with stress/UPR markers; replicates in solid tumors but inconsistent in hematologic or non-hypoxic inflammatory contexts.	hypoxia	Synthetic mixed: hypoxia + stress response overlap	fam_mixed_hypoxia_stress	dual_curator_agreed_locked
mixed_senescence_proliferation	primary	mixed	Combines senescence arrest markers (CDKN2A/1A) with residual proliferation genes; contradictory biology produces inconsistent cross-cohort scores.	senescence	Synthetic mixed: senescence + residual proliferation	fam_mixed_senes_prolif	dual_curator_agreed_locked
confounded_proliferation	primary	confounded	Pure cell-cycle/mitotic genes; dominates any proliferative contrast but reflects nuisance biology rather than specific pathway activation.	proliferation	Synthetic confounded: pure proliferation markers	fam_confounded_prolif	dual_curator_agreed_locked
confounded_ribosomal	primary	confounded	Ribosomal protein genes (RPL/RPS family); universally expressed housekeeping genes that track sample quality and cell size, not specific biology.	technical_artifact	Synthetic confounded: ribosomal protein genes	fam_confounded_ribo	dual_curator_agreed_locked
confounded_immune_infiltrate	primary	confounded	Pure immune cell-type markers (T-cell, B-cell, monocyte, NK); tracks immune cell fraction rather than pathway activation within cells.	immune_infiltration	Synthetic confounded: immune cell-type deconvolution markers	fam_confounded_immune	dual_curator_agreed_locked
stealth_confounded_hypoxia_prolif	primary	confounded	Hypoxia genes (VEGFA, LDHA, CA9) plus proliferation markers (MKI67, TOP2A, CDK1); real hypoxia signal contaminated by proliferation confounder. Simple enrichment sees hypoxia; confounder check catches proliferation overlap.	hypoxia	Synthetic stealth confounded: hypoxia + proliferation	fam_stealth_hypoxia_prolif	dual_curator_agreed_locked
stealth_confounded_inflam_immune	primary	confounded	Inflammatory cytokines (IL6, TNF, CCL2) plus immune infiltration markers (CD3D, CD8A, PTPRC); real inflammatory signal contaminated by immune infiltrate. Simple enrichment sees inflammation; confounder check catches immune-fraction dominance.	inflammatory_response	Synthetic stealth confounded: inflammation + immune infiltrate	fam_stealth_inflam_immune	dual_curator_agreed_locked
lowcov_olfactory_1	primary	insufficient_coverage	Olfactory receptor genes not present on standard expression platforms; expected to fail coverage threshold.	out_of_universe	Synthetic sentinel: olfactory receptor genes	fam_lowcov_olfactory	dual_curator_agreed_locked
lowcov_olfactory_2	primary	insufficient_coverage	Second olfactory/taste receptor sentinel set; independent gene selection to confirm coverage rejection is robust.	out_of_universe	Synthetic sentinel: olfactory/taste receptor genes	fam_lowcov_olfactory	dual_curator_agreed_locked
blind_durable_ifn_composite	blind	durable	Composite interferon signature combining IFNg and IFNa core genes; held out from threshold tuning. Expected to replicate robustly.	interferon_response	Blind: composite IFNg/IFNa core genes	fam_blind_ifn_composite	dual_curator_agreed_locked
blind_durable_hypoxia_core	blind	durable	Core hypoxia signature restricted to most-replicated HIF1A targets; held out from threshold tuning. Expected to replicate robustly.	hypoxia	Blind: core HIF1A target genes	fam_blind_hypoxia_core	dual_curator_agreed_locked
blind_brittle_random	blind	brittle	Blind brittle control: random gene assortment with no pathway coherence; held out from threshold tuning.	none	Blind: random incoherent gene set	fam_blind_brittle	dual_curator_agreed_locked
blind_mixed_emt_stress	blind	mixed	Blind mixed signature combining EMT markers with stress/UPR genes; held out from threshold tuning. Expected to show inconsistent replication.	emt	Blind: EMT + stress response	fam_blind_mixed_emt	dual_curator_agreed_locked
blind_confounded_prolif_inflam	blind	confounded	Blind confounded control: proliferation genes plus inflammatory genes; held out from threshold tuning. Confounder check expected to flag.	proliferation	Blind: proliferation + inflammation overlap	fam_blind_confounded	dual_curator_agreed_locked
blind_confounded_stealth_emt_immune	blind	confounded	Blind stealth confounded: EMT signature plus immune infiltration markers; held out from threshold tuning. EMT signal real but immune fraction dominates.	emt	Blind: EMT + immune infiltrate stealth confound	fam_blind_stealth_emt	dual_curator_agreed_locked
blind_lowcov_keratin	blind	insufficient_coverage	Blind coverage sentinel: hair keratin genes absent from standard expression platforms; held out from threshold tuning.	out_of_universe	Blind: hair keratin sentinel genes	fam_blind_lowcov_keratin	dual_curator_agreed_locked
